重复组号,重复条数,涉及景点数,评论内容,涉及景点,评论编号列表
616,2,1,人不算太多，不用排长队的感觉太爽了，体验感一级棒,虎跳峡(香格里拉段),181939071、181939056
617,2,1,虎跳峡景区到了近处才能感受到江水咆哮的威力，两山中间夹的河流到了景区最佳位置领略了大自然的神奇。走栈道下行边走边欣赏。回来不走栈道坐上行电梯。好评。,虎跳峡(香格里拉段),181353038、181353119
618,2,2,非常值得一看，就是票价略贵了,噶丹松赞林寺、虎跳峡(香格里拉段),181014438、181014437
619,2,1,从玉龙雪山下来驱车前往虎跳峡，一路风景壮美，到达虎跳峡景区后给人的震撼更是不言而喻。携程上购票的确方便，刷身份证即可入园。,虎跳峡(香格里拉段),179608603、179608598
620,2,1,购买了电梯全票，奔着听讲解去的，问讲解员，说刚好有一批下去了，叫我们赶上，结果下去了，根本就没找到讲解，不知道讲解已经下去多久了。问了两次工作人员要讲解，都全程没有体验到讲解服务，拍照说免费就，没有半个手掌那么大，然后拿出正常大小的照片说20元一张。,虎跳峡(香格里拉段),179520469、179520439
621,2,2,风景不错，值得来,奇林峡风景区、虎跳峡(香格里拉段),179262851、176073420
622,2,1,非常不错的一次旅游体验，下次有机会还来，肯定会推荐其他亲朋好友。,虎跳峡(香格里拉段),179237451、179237439
623,2,1,人生必去的景点，手机拍不出的雄伟壮阔，我妈说还可以去看第二次！一定要买电梯票。体力好的随意。,虎跳峡(香格里拉段),178943412、178943431
624,2,1,虎跳峡的景色非常壮观，上游平静的江水到了这里，突然变得气势磅礴起来，水花飞溅，声势浩荡，非常震撼，离丽江和香格里拉都不太远，值得游玩。,虎跳峡(香格里拉段),173852768、173852850
625,2,1,虎跳峡是金沙江（长江）上的第一大峡谷，更是全球著名的大峡谷，虎跳峡位于香格里拉东南部，距香格里拉市区105公里，距长江第一湾35公里，距离丽江88公里，分为上虎跳、中虎跳、下虎跳3段，是香格里拉虎跳峡经营有限公司的主要运营旅游线路之一。,虎跳峡(香格里拉段),173175291、163114477
626,2,2,好(▼皿▼#)好(▼皿▼#)好(▼皿▼#)好(▼皿▼#),白马雪山、虎跳峡(香格里拉段),170910684、170830074
627,2,1,虎跳峡，分为上虎跳，中虎跳和下虎跳，上虎跳的卖点就是那块虎跳石，一般游客都是去上虎跳的。上虎跳是需要买门票的，实际上这张门票包括了整个虎跳峡，但目前开发成熟的景区只有上虎跳，所以买了门票就是为上虎跳检票。中虎跳目前被分段承包经营，走每一段都需要过路费，20元一段，上虎跳的门票在中虎跳是没有用的。我走了一段，从张老师客栈下去的，付了20元，路就是以前的土路，因为收了过路费，张老师客栈一直在做维护，但路况还是很险峻的，走在路上，一边是绝壁山体，一边就是金沙江，路不宽，最多勉强走两个人，靠金沙江的外侧没有栏杆，有些路段很陡峭，行走必须小心，建议有恐高症的人就别走了。一路往下，大概走40分钟就可以走到谷底，金沙江江边，站在江边的巨石上，看着金沙江从身边奔腾而过，还是很有一番滋味的。,虎跳峡(香格里拉段),164096665、164096702
628,2,1,虎跳峡位于香格里拉东南部虎跳峡镇境内，距离丽江88公里，分为上虎跳、中虎跳、下虎跳三段。  发源自青海格拉丹东雪山的金沙江迢迢千里奔波到此，突遇玉龙、哈巴两座雪山的阻挡，原本平静祥和的江水顿时变得怒不可遏。虎跳峡是万里长江第一大峡谷，横穿与哈巴和玉龙雪山之间因猛虎跃江心石过江的传说而得名。,虎跳峡(香格里拉段),162789230、162784813
629,2,1,内容丰富，值得推荐,藏域星球天文体验馆,180791339、180790676
630,2,1,4层楼，有专人讲解，很经典,藏域星球天文体验馆,171905371、171905349
631,2,2,非常好，还会来,巴松措、藏域星球天文体验馆,171852362、203549235
632,2,2,娃娃很喜欢,康定木格措景区、藏域星球天文体验馆,171627241、635136510
633,2,1,小朋友听讲解很认真,藏域星球天文体验馆,171573219、171573220
634,2,1,很值得来打卡,藏域星球天文体验馆,167338809、167338788
635,2,2,下次还要去,南迦巴瓦峰、蓝色天国羊八井地热旅游区,181022900、215535881
636,2,1,雪域敦煌、第二敦煌，萨迦寺，是此次进藏最重要的一站。一日游服务很棒，藏族司机开车很稳，态度也非常谦逊。景点虽不大，但见识了世界最大的经书墙、摸了铁环经书、聆听了释迦摩尼的白海螺吹号声、拜祭了萨迦班智达和八思巴的塑像、观赏了元代壁画真迹，为我心里那段《凉州会盟》的历史画下了圆满的句号。感谢！,萨迦寺,718870615、718871238
637,2,2,【景色】很好好看好美 【趣味】很好 【性价比】很好,纳木措景区、药王山,178977783、178136785
638,2,1,药王山位于色达县和佛学院之间的甲修村，驱车从色达县的金马大道出发，大概行驶30分钟左右就到了。相传，这座山是金刚萨duo之化身，代替众生虔诚祈祷，可以护持世间事业成就。更重要的是，据说此山有神奇的治病功效。这里种着很多我们叫不上名字但都可以入藏药的花朵。所以，即使疫情期间，来这里朝拜的普通游客、牧民、居士，依旧骆驿不绝,药王山,171410775、171410759
639,2,2,beautiful place,岗巴拉山、药王山,169811843、169702612
640,2,2,******,大昭寺、苯日景区,170452958、166698862
641,2,2,“千回百转始初见，疑似仙境在人间。”巴松错是藏传佛教中的神湖，位于距林芝地区工布江达县50多公里的巴河上游的高峡深谷里。据导游介绍，其结巴村内的观景亭，是观赏巴松错湖和周围两座雪山――“国王宝座”和“燃烧的火焰”的绝佳位置。当太阳缓缓升起，为雪山勾勒出一道金边的时候，那般美景让我们不由得屏住了呼吸。“国王宝座”更显威严，“燃烧的火焰”更是气势不凡。,巴松措、苯日景区,163398487、163403914
642,2,2,环境一流，风景绝美，空气稀薄，是一生必须去一次的打卡地。,珠峰大本营、色林措,178510223、175416523
643,2,2,风景绝美，海拔较高，空气稀薄，一生必须去一次的打卡地。,拉昂错、色林措,171985475、171922099
644,2,2,导游很专业，讲解超棒！,哲蚌寺、色拉寺,170628413、170628391
645,2,2,在太阳落山前赶到了色季拉山观景台 海拔有4720了 下了车感觉脚下有点儿飘 比看到日落更更幸运的是 我们看到了南迦巴瓦峰的主峰 山峰在云层之上 看起来就像海市蜃楼一样 一瞬间激动的心情无以言表 南迦巴瓦峰是此行中我最最期待的景色之一 它是中国最美山峰之一 整座山如同平躺的少女一般 因为一年有200多天都藏在云中 所以也叫羞女峰 我们特别幸运能够见到 而在拍照5分钟后 山峰又完全被云遮住看不到了 就这匆匆一面 我跟我爸得瑟了半个月 太美了！太幸运了！！！感觉后来见到的其他山峰都黯然失色,南迦巴瓦峰、色季拉山,160609743、160610831
646,2,1,游走滇藏，来到色季拉森林公园，犹如闯入仙境一般，9月的林芝，秋色悄悄来临，山上的植被色彩都变得丰富起来，真的好美，让人的心都平静下来了。,色季拉国家森林公园,161076595、161076313
647,2,2,景色非常优美,巴塘措普沟景区、羊卓雍错,786092322、697724224
648,2,1,值得推荐，景区太美了，上午下午看到的湖水都不一样，时间充足可以体验,羊卓雍错,784863367、784863269
649,2,1,网上买可以省去现场买下车省时，羊卓雍错有好几个观景平台，时间充足可以都去看看，关键要天气好，这样能出大片。从拉萨过去半山腰有好几个平台，可以和藏獒拍照。,羊卓雍错,755659486、755658947
650,2,2,各方面都很好,墨石公园景区、羊卓雍错,644383762、788578505
651,2,1,还不错 运气不错 刚开始雾气大 挺漂亮的,羊卓雍错,224813009、224812834
652,2,2,景色很好。,稻城亚丁、羊卓雍错,219141749、751150919
653,2,2,景色特别美,稻城亚丁、羊卓雍错,218189875、176077216
654,2,2,非常非常非常好,珠峰景区、羊卓雍错,216916813、191397508
655,2,2,风景很好。,康定木格措景区、羊卓雍错,213820090、827013090
656,2,2,哈哈非常喜欢,巴松措、羊卓雍错,213776557、213522779
657,2,2,非常非常美,普达措国家公园、羊卓雍错,208743081、743213017
658,2,2,还行。。。,奇林峡风景区、羊卓雍错,181909012、174989329
659,2,1,该产品“门票+大巴”没有标注不可自行到景区，必须得跟车才能取票，容易误导消费者“门票+大巴”是可以分开用的。我是自驾的，在携程上也没有单独“门票”，以为这个产品可以光用门票，到景区了说换不了，只好退票。退票还不能全款退，按50%退的。总之问题出在产品标题没标注清楚，差评。,羊卓雍错,181509750、181509740
660,2,2,购票与入园环节方便便捷。实际情况与商家描述相符。风景非常不错！,纳木措景区、羊卓雍错,179369924、179369907
661,2,2,美不胜收！,纳木措景区、羊卓雍错,177661178、167975091
662,2,2,自驾去的，道路很好走，景色很美。,巴松措、羊卓雍错,177585854、177585857
663,2,2,景色挺美的,纳木措景区、羊卓雍错,176807035、176806397
664,2,2,下次还会再来,玉龙拉措景区、羊卓雍错,175924418、689000537
665,2,2,预约很方便,南迦巴瓦峰、羊卓雍错,175901874、175901866
666,2,2,好玩的不得了,纳木措国家公园、羊卓雍错,175828636、173118292
667,2,1,西藏的三大圣湖之一，到西藏必到景点，建议找一个晴朗的好天气，蓝色的湖水，蓝色的天空，让人看着心情就那么舒畅，而且公司比较负责，朱师傅（二师兄，车号5707）也很棒，幽默、风趣、细心，很敬业！,羊卓雍错,175068422、175068428
668,2,2,。。。。。。。,康定木格措景区、羊卓雍错,174762236、175769806
669,2,2,还挺不错的,珠峰景区、羊卓雍错,174696127、181684622
670,2,2,非常好的地方，风景非常美，非常值得看一看！,亚丁村、羊卓雍错,173972781、175560650
671,2,2,😀😀😀😀😀,松赞林景区、羊卓雍错,173409789、234307823
672,2,2,景色优美！,墨石公园景区、羊卓雍错,168969128、180834389
673,2,2,interesting place,牛奶海、羊卓雍错,168765795、169279252
674,2,1,翻过岗巴拉山口，看到羊湖那一瞬间，高反算什么？晕车算个啥？羊湖美的让人窒息！羊卓雍错的湖水在苍茫的高原的映衬下，显得纯净碧蓝，一尘不染，有一种惊艳的震撼！西藏没有海，却收藏了世界上所有的蓝！,羊卓雍错,167897916、167897961
675,2,2,【景色】美到窒息 【趣味】有趣 【性价比】高,巴松措、羊卓雍错,167859867、167859969
676,2,2,去的时候天气不好,纳木措国家公园、羊卓雍错,167252726、174683985
677,2,2,美美美美美美美美美美美美美美美,康定木格措景区、羊卓雍错,167051184、232819686
678,2,2,可以去去看看,纳木措国家公园、羊卓雍错,166240321、166240313
679,2,2,景色不错，性价比高，有趣好玩，,噶丹松赞林寺、羊卓雍错,165893439、165048449
680,2,1,导游格桑，服务非常好性价比高，,羊卓雍错,165490714、165490695
681,2,2,还不错，挺好的,噶丹松赞林寺、羊卓雍错,165049715、171378411
682,2,2,有趣好玩，值得推荐，,亚丁村、羊卓雍错,164562954、164813892
683,2,2,体验不佳，性价比低，可玩性低，,木雅圣地景区、羊卓雍错,164216325、164202222
684,2,2,景色不错，值得推荐，有趣好玩，体验很好，,普达措国家公园、羊卓雍错,164118944、164075768
685,2,2,景色一般，可玩性低，,石卡雪山、羊卓雍错,163626338、164036111
686,2,2,体验很好，景色不错，有趣好玩，,米堆冰川、羊卓雍错,163507487、164155970
687,2,2,不错不错很好玩。。。。。。。。。,布达拉宫广场、罗布林卡,172700231、172028805
688,2,2,不如找个人工导游更有交流的感觉。,大昭寺、罗布林卡,161517693、161517595
689,2,2,讲解的很好。到一个地方一按手机就自动讲解了，使用起来的确很方便。,哲蚌寺、罗布林卡,161077219、161079063
690,2,2,纳木错不愧是圣湖，湖水颜色蓝得像地中海，倒映着念青唐古拉，虽然路途遥远，但还是值得一去，景色好，路上的风景更好！,纳木措圣象天门、纳木措景区,803568935、803569705
691,2,2,环境优美！,普达措国家公园、纳木措景区,789570580、663673690
692,2,1,纳木措非常漂亮,纳木措景区,777534864、728602288
693,2,2,非常好很好,普达措国家公园、纳木措景区,743487991、674826370
694,2,2,风景太美了,康定木格措景区、纳木措景区,735938288、802990133
695,2,2,不错，值得去,噶丹松赞林寺、纳木措景区,720658933、178192181
696,2,2,感觉还一般般,珠峰景区、纳木措景区,719061141、719061428
697,2,2,风景好漂亮,康定木格措景区、纳木措景区,677861290、205633982
698,2,2,服务态度很差,大昭寺、纳木措景区,662532172、231139070
699,2,2,景区非常美,巴塘措普沟景区、纳木措景区,660934527、645087913
700,2,2,不错挺好的,松赞林景区、纳木措景区,653108135、173562798
701,2,2,景色超级漂亮,康定木格措景区、纳木措景区,646863393、218847189
702,2,1,风景不错(#^.^#)👍🏻,纳木措景区,645071001、645070882
703,2,1,这个景区真的是西藏最垃圾的景点！其他的景点都非常好，无论是配套和服务都很好，西藏唯独这个景区真的很差劲👎景交车管理特别混乱，景区内观景台根本不会给你说清楚，任由司机随意停靠，随意接人，本来应有的3个观景台，完全不按游览顺序放游客，也不会给你说清楚到底有几个景观台能停靠，你能玩哪里完全就是开盲盒，希望大家避雷！垃圾景区，再也不去！,纳木措景区,643973401、643970524
704,2,2,很不错的。,松赞林景区、纳木措景区,638308700、164685686
705,2,2,非常的好呀,南迦巴瓦峰、纳木措景区,632482026、169239874
706,2,2,撒老师 没白活,珠峰景区、纳木措景区,629957196、629957336
707,2,2,很值得去看看。,珠峰景区、纳木措景区,628874247、181772035
708,2,1,马师傅幽默风趣，认真负责，值得推荐,纳木措景区,546111217、546087060
709,2,2,纳木错的湖水清澈湛蓝，宛如一块巨大的蓝宝石镶嵌在青藏高原上。在不同光线和季节条件下，湖面颜色会发生变化，从湛蓝到碧绿，色彩丰富多变。湖边连绵的雪山，如念青唐古拉山，与湖水相互映衬，构成了一幅雄浑壮丽的画卷。尤其是圣象天门，天然形成的巨石形似巨象饮水，与湖对岸的雪山遥相呼应，景色十分震撼。,纳木措扎西岛、纳木措景区,286323612、287179726
710,2,1,触摸山川湖海的心跳,纳木措景区,317358413、245388669
711,2,2,环境优美好,稻城亚丁、纳木措景区,245105225、777710753
712,2,2,值得去，很美,纳木措圣象天门、纳木措景区,237684784、243205362
713,2,2,值得去体验,布达拉宫、纳木措景区,232858578、218667891
714,2,2,还行吧！！,噶丹松赞林寺、纳木措景区,228967089、180014414
715,2,1,纳木错景色非常好，但是景区范围内仅仅提供了进水体验。 与此同时，景区服务非常差劲，从购票开始就是一片混乱。对个人游客非常不友好。 可能是圈钱来的太容易了。,纳木措景区,227049586、227049670
716,2,2,不错不错。,噶丹松赞林寺、纳木措景区,226627794、175872168
717,2,1,美丽的纳木措,纳木措景区,225013629、181252464
718,2,1,风景不错，只是天公不作美,纳木措景区,224445523、224445488
719,2,1,风景很美，海拔很高，大家都是胸闷气喘，真是一个让人又爱又恨的地方,纳木措景区,222861563、222861430
720,2,2,非常满意的一次,大昭寺、纳木措景区,221323418、166759030
721,2,1,门票有点小贵，纳木错湖很好看，但是各段看着都差不多的，所以显得缺点性价比。但是，来了拉萨就觉得必须看纳木错。,纳木措景区,221186484、221186295
722,2,2,来这里真的选对了！景区超干净，路标清晰不怕迷路。山顶的日落美到窒息，随手拍都是壁纸。工作人员特别热心，问路线时还主动提醒哪里拍照最佳。小吃街价格公道，推荐当地特色凉粉，酸辣爽口。全程玩下来很轻松，性价比超高，已经推荐给朋友了，下次还来！,玉龙拉措景区、纳木措景区,218972629、218441007
723,2,2,非常喜欢这个地方,珠峰大本营、纳木措景区,218771498、171026925
724,2,2,非常漂亮的景点,珠峰景区、纳木措景区,218732102、197497728
725,2,2,非常非常不错,珠峰大本营、纳木措景区,217945316、241237256
726,2,1,不错不错。。。。,纳木措景区,216977671、216977629
727,2,1,美中不足就是遇到下雨、看不到什么美景。,纳木措景区,213175866、213175845
728,2,2,确实很漂亮,巴松措、纳木措景区,211266161、671557321
729,2,1,门口就有停车位非常方便，而且从进门开始就感觉到舒适，环境分给到5分！很好哈哈哈还好还好。。。。。。。。。。。。。。。。。。。。。,纳木措景区,191930327、191930299
730,2,2,超级漂亮！,康定木格措景区、纳木措景区,179793040、215202177
731,2,2,美！！！！！,奇林峡风景区、纳木措景区,179785086、175152097
732,2,1,纳木措非常漂亮值得一看！,纳木措景区,178744804、178744803
733,2,1,景色不错，千万别坐景区里面摩托载客游岛拉客的，太垃圾了，载一段就要加一点钱，跟他理论说谈好了多少就是多少，还扬言自己下去，骂人，态度恶劣！千万别坐摩托拉客的！千万别坐摩托拉客的！千万别坐摩托拉客的！,纳木措景区,178104896、178104894
734,2,1,景色不错，千万别坐景区里面摩托载客游岛拉客的，太垃圾了，载一段就要加一点钱，跟他理论说谈好了多少就是多少，还扬言自己下去，骂人，态度恶劣！千万别坐摩托拉客的！千万别做摩托拉客的！千万别做摩托拉客的！,纳木措景区,178104893、178104891
735,2,2,景色非常美！,巴松措、纳木措景区,177784846、645782887
736,2,1,翻越海拔5190米那根拉山，来到了这世界上最高最美的神湖让人震撼—纳木错，淡蓝、浅蓝、灰蓝、宝蓝、深蓝以及深邃如墨一样的蓝黑，这有浅而深的蓝色，似乎包容了世界上所有的蓝色。,纳木措景区,176200466、176200328
737,2,2,【景色】很好很美 【趣味】很好 【性价比】很好,八廓街、纳木措景区,175559447、175589792
738,2,1,纳木措湖是西藏三大圣湖之一，中国第三大淡水湖，湖水非常的清澈，随着阳光直射呈现不同的颜色，非常的绚丽多彩，看着心旷神怡，感受祖国大好河山不同的美景,纳木措景区,172024131、172024109
739,2,1,我们去的时候天气不好，一直下雨，这个景区就是坑啊！收门票的地方，离游客集散中心还要自己开车30公里的盘山公路。到了游客中心还要做景区的大巴。到湖边还要步行1公里。我们全身湿透，冻死了。大雾啥也看不到。体验极差。,纳木措景区,171885030、171884992
740,2,1,无法言说。零服务，真是守着老祖宗给的礼物不知道珍惜,纳木措景区,171567345、171567365
741,2,2,【景色】景色舒适宜人悠闲 【趣味】趣味平平休闲还行 【性价比】性价比不错的一款,八廓街、纳木措景区,170981344、171210316
742,2,2,携程平台就是个狗屎平台，我作为他们平台的钻石客户居然利用他们的霸王条款来杀熟，一个11岁的孩子都要被平台收取成人票的费用，而且纳木错景区售票处明确说60岁以上的老人18岁以下的未成年都是半票的，但由于我在携程上订的票，所以是退不了的，和携程沟通下来，给我的回复都是敷衍和高高在上的姿态，大平台大公司，一个信任的几年的平台，从今天开始订机票酒店门票都不会用这个狗屎平台了！！！,《文成公主》大型史诗剧、纳木措景区,167151418、167151523
743,2,2,非常美丽漂亮,巴松措、纳木措景区,166993081、228065601
744,2,2,景色不错，总体超赞，性价比高，有趣好玩，,大昭寺、纳木措景区,166844865、166777623
745,2,2,景色不错，有趣好玩，值得推荐，体验很好，,稻城亚丁、纳木措景区,164562957、163478082
746,2,2,值得去看看！,南迦巴瓦峰、纳木措景区,163849785、180069134
747,2,2,景色美滴跟画一样，服务烂的跟*一样。建议大家一块打投诉电话，也可以打纪委电话反馈问题，争取把景区撤掉或者优化提升，还大家一片净土和美景。,巴松措、纳木措扎西岛,220650802、220649178
748,2,2,非常非常非常不错,珠峰大本营、纳木措圣象天门,241237319、241237284
749,2,2,美的让人窒息,来古冰川、纳木措圣象天门,239072709、174765807
750,2,2,漂亮，值得一去,康定木格措景区、纳木措圣象天门,235488310、805519233
751,2,1,湖水干净，美如仙境。,纳木措国家公园,222607323、222607288
752,2,1,景色比较好，小朋友可以喂鱼和红嘴鸥，不虚此行！,纳木措国家公园,218151592、218151704
753,2,2,值得一去，很震撼,《文成公主》大型史诗剧、纳木措国家公园,186363836、630977488
754,2,2,值得一去的地方。,松赞林景区、纳木措国家公园,182620831、173107125
755,2,2,风景不错，,康定木格措景区、纳木措国家公园,175735865、181314814
756,2,1,风景绝佳，心旷神怡。,纳木措国家公园,171623009、171623054
757,2,1,挺好，很大，建议自驾环湖,纳木措国家公园,171257997、171258004
758,2,1,非常美呀！就是出行的时间不对，景点门口还是大晴天，到了湖边就是雪加冰雹，不过我还是带着我麻麻顽强的走了一圈，边走边唱刘德华的冰雨⋯⋯,纳木措国家公园,170750012、170750033
759,2,1,景色非常完美,纳木措国家公园,164585619、164585618
760,2,2,美丽的景色,松赞林景区、纳木措国家公园,163999432、757015715
761,2,1,老人票半价，与儿子一起连住了两天，大峡谷都跑了个遍，美不胜收。,索松村,238122249、238122592
762,2,2,看上去还不错,巴松措、索松村,178863287、178863278
763,2,2,还行还行还行,松赞林景区、索松村,175729070、167365311
764,2,1,索松村是西藏自治区林芝市米林县派镇辖行政村，包括索松、吞白两个自然村。村子位于半山腰，面对南迦巴瓦峰，村脚下就是雅鲁藏布江。,索松村,166066573、166064887
765,2,2,扎什伦布寺，原名“岗坚曲培”，意为“雪域兴佛寺”，后更名为“扎什伦布巴吉德经钦却唐皆南嘏杰维林”，意为“吉祥宏固资丰福聚殊胜弥诸方洲”，通称“扎什伦布寺”，意为“吉祥山寺”或“吉祥须弥山寺”。一些汉文史籍记为“扎什伦博”、“仍仲宁翁结巴寺”、“扎什隆布寺”等，简称“扎寺”。 位于市内，位于市驻地以西的尼色日山麓。为第一世达赖根敦珠巴于1447年佳建，后为班禅额尔德尼住锡之所。系后藏第一大寺，也是格鲁派六大寺院之一，属国家重点文物保护单位。,扎什伦布寺、第十世班禅大师灵塔祀殿,171997696、171997690
766,2,2,去年去了，位于四川省甘孜***自治州稻城县香格里拉镇，属横断山脉，沙鲁里山系，南部与云南省香格里拉毗邻，东南连泸沽湖和丽江。,稻城亚丁、稻城亚丁风景区-冲古寺,163313886、163313879
767,2,2,这里的景色真的非常不错，值得推荐给大家。,尊胜塔林、稻城亚丁风景区-三神山,174991419、174933201
768,2,1,雪山巍峨，清溪水流淙淙，景色宜人。,稻城亚丁,816471083、816470460
769,2,2,值得去，风景很美的,康定木格措景区、稻城亚丁,784488398、784488146
770,2,2,景色太漂亮了,木雅圣地景区、稻城亚丁,777633291、175656127
771,2,1,风景绝美，一票景区通用，再无收费项目，非常棒,稻城亚丁,770720161、770720532
772,2,1,不错，，，，,稻城亚丁,770503007、770502762
773,2,2,风景很美很美,普达措国家公园、稻城亚丁,753970330、798986833
774,2,1,方便快捷 就是开发票麻烦,稻城亚丁,753017063、753016881
775,2,2,非常非常棒！,布达拉宫、稻城亚丁,750927843、761000682
776,2,1,挺好的，景色超级棒，景区服务人员很热情 的，挺好的，感觉很满意,稻城亚丁,745831696、745829463
777,2,1,好评好评好评好评好评好评好评好评好评,稻城亚丁,728154106、728154008
778,2,1,总体感觉非常坑，高海拔景点，游客花钱只买个门票和景区交通。徒步在高海拔爬山，最后到牛奶海，简直不能看。很后悔来稻城亚丁景区，也不会推荐亲朋好友来游玩。简直是花钱买罪受。,稻城亚丁,701061803、701062041
779,2,1,眼睛在天堂，身体在地狱,稻城亚丁,697881948、214594031
780,2,1,很方便 直接身份证进,稻城亚丁,667245335、667245118
781,2,1,美。相当美。心意很久的地方,稻城亚丁,645243894、645243593
782,2,1,冬天的风景也很不错 但是长线只开到了贡嘎措 观光车也不停圣水湖 走的有点累了 从贡嘎措一直走到了坐大巴的地方 非常远,稻城亚丁,638463421、638463155
783,2,2,风景优美，交通方便，非常出片～,巴塘措普沟景区、稻城亚丁,635802644、635803008
784,2,1,无论天气如何，这个景点都值得一去,稻城亚丁,634121125、634120733
785,2,1,这次旅行真的太惊艳了！景区的环境非常优美，干净整洁，让我们真正感受到了大自然的美妙。&quot;,稻城亚丁,630292776、630292475
786,2,2,美的不像话,珠峰大本营、稻城亚丁,231322960、213380770
787,2,2,特别特别美,噶丹松赞林寺、稻城亚丁,230871474、175344231
788,2,2,景色很美，不虚此行,巴松措、稻城亚丁,230712791、175518216
789,2,1,这次去亚丁，简直就是冲着挑战心理极限去的。全程都在下雨，下了一天，我们也是头铁，一直冒雨前行，一路到达了最高点--牛奶海和五色海，金刚挑战线拿捏，最后的后果就是那天战损严重，从头湿到脚，还好没感冒，否则都不敢想象高原地区，感冒了要怎么办,稻城亚丁,229116210、229116245
790,2,1,踏入稻城亚丁，像跌入了造物主打翻的调色盘。   清晨的洛绒牛场裹着薄雾，草甸上的野花沾着露珠，牦牛甩着尾巴漫不经心地啃草，远处的仙乃日雪山藏在云层后，露出的雪顶像给蓝天镶了道银边。沿着栈道往上走，空气渐稀，每一步都伴着心跳，但抬眼便是冲古寺的金顶在阳光下闪光，经幡在风里簌簌作响，仿佛在低声诉说着什么。   走到牛奶海时，突然明白了“圣地”二字的分量。碧绿的湖水嵌在雪山环抱的谷地里，像块被岁月打磨过的翡翠，湖水随光线变幻，时而清透如镜，时而泛着幽蓝。不远处的五色海更妙，阳光洒在湖面，折射出青、蓝、绿、黄、紫五色光晕，站在观景台往下望，人在画中，却觉画也不及眼前之万一。   下山时回望，雪山仍静静矗立，草甸渐染暮色。这里的美从不是刻意雕琢，而是天地本真的模样——风是清的，水是净的，山是肃穆的。走一趟亚丁，像给心灵做了场洗礼，那些俗世的烦扰，似乎都被这里的风卷走，只留下满心的澄澈与敬畏。,稻城亚丁,228778677、228778488
791,2,1,很喜欢稻城亚丁太好玩了还看到了日照金山,稻城亚丁,228323614、228323565
792,2,1,牛奶海很美，此行无憾,稻城亚丁,226756937、226756853
793,2,2,缺氧但不缺信仰,噶丹松赞林寺、稻城亚丁,224261458、231339319
794,2,2,非常开心的一次出行，体验非常好，订票还有优惠，期待下次行程。非常开心的一次出行，体验非常好，订票还有优惠，期待下次行程。非常开心的一次出行，体验非常好，订票还有优惠，期待下次行程。非常开心的一次出行，体验非常好，订票还有优惠，期待下次行程。非常开心的一次出行，体验非常好，订票还有优惠，期待下次行程。非常开心的一次出行，体验非常好，订票还有优惠，期待下次行程。非常开心的一次出行，体验非常好，订票还有优惠，期待下次行程。,亚丁村、稻城亚丁,223552624、224293532
795,2,2,好可以值得推荐超级棒,墨石公园景区、稻城亚丁,221320569、221320520
796,2,1,果然是名不虚传 稻城亚丁太美了 处处是风景如画 世外桃源 坐景区大巴进去 途中有几个站点 一般是一直坐到最里面 然后再换成小电瓶车到洛绒牛场看三座神山 非常震撼,稻城亚丁,218819105、218818972
797,2,1,景色太好了。长线短线分两天走完。建议第一天早点进，大巴换观光车，然后赶快去马帮买票，骑马2.5公里，之后三公里要靠自己走了，很累，但景色太好了。有句话怎么说来的，“身体在地狱，眼睛在天堂”；赶在下午一点前登上去最好，拍照看看，三点选择下山，需要走到观光车点了。然后坐大巴回。第二天上午再来个短线，真的美。,稻城亚丁,217767362、217767474
798,2,2,值得一去的地方！,噶丹松赞林寺、稻城亚丁,217768475、175180582
799,2,1,. 无论天气如何，这个景点都值得一去。 3. 景区内的景色让人陶醉，仿佛置身仙境。 4. 有着悠久历史文化底蕴的景点，值得一探究竟。 5. 这个景区的管理非常好，环境整洁干净。 6. 景点内的建筑风格独特，具有极高的艺术价值。 第 1 页 7. 站在这里可以俯瞰整个城市，视野开阔。 8. 这个景点有丰富多样的娱乐项目，适合一家人来玩。 9. 这个景区的服务态度很好，给人宾至如归的感觉。,稻城亚丁,217234235、217234200
800,2,1,稻城亚丁确实不好爬😥，我们是5月份来的，风景不太好，颜色都是深色系，会觉得有一些荒凉和严肃，但还是可以的，只是在丰水期来会更合适，听说到时候牛奶海和五色海会特别漂亮。图片都是我们自己拍的，其实真的蛮好看的🤣,稻城亚丁,213165989、213165898
801,2,1,去的不是时候，但是挺好看的。去的不是时候，但是挺好看的。去的不是时候，但是挺好看的。去的不是时候，但是挺好看的。去的不是时候，但是挺好看的。,稻城亚丁,209716452、209716431
802,2,2,稻城亚丁犹如一颗璀璨的明珠，镶嵌在四川的西南部，为世人展现着大自然的神奇与美丽。让我们一起来这里感受这片仙境带给我们的宁静与美好。,亚丁村、稻城亚丁,181319086、181319092
803,2,2,挺满意的，挺满意的，挺满意的，挺满意的，挺满意的，挺满意的，挺满意的，挺满意的，挺满意的，挺满意的，挺满意的，挺满意的，,墨石公园景区、稻城亚丁,179643449、179643482
804,2,1,风景真的很美，不后悔，稻城亚丁真的超级美，雪山很好看，就是很累很累，真的一定要去牛奶湖上面看超级好看，很蓝的湖水不虚此行,稻城亚丁,179346540、179346522
805,2,1,老天爷非常给面子，到了牛奶海的时候出太阳了！牛奶海真的太美了，雪山也是非常壮丽。一路设施卫生间让我留下非常好的印象，各种都很便利。虽然爬着挺累的（其实我觉得一路坐车过来比爬山更累），但是也是开心的，一切都很值得。希望还有下次！,稻城亚丁,179288917、179288902
